date,year,month_number,month_name,quarter,day_number,day_name,week_number
2021-05-13,2021,5,May,2,13,Thursday,19
2021-05-14,2021,5,May,2,14,Friday,19
2021-05-15,2021,5,May,2,15,Saturday,19
2021-05-16,2021,5,May,2,16,Sunday,19
2021-05-17,2021,5,May,2,17,Monday,20
2021-05-18,2021,5,May,2,18,Tuesday,20
2021-05-19,2021,5,May,2,19,Wednesday,20
2021-05-20,2021,5,May,2,20,Thursday,20
2021-05-21,2021,5,May,2,21,Friday,20
2021-05-22,2021,5,May,2,22,Saturday,20
2021-05-23,2021,5,May,2,23,Sunday,20
2021-05-24,2021,5,May,2,24,Monday,21
2021-05-25,2021,5,May,2,25,Tuesday,21
2021-05-26,2021,5,May,2,26,Wednesday,21
2021-05-27,2021,5,May,2,27,Thursday,21
2021-05-28,2021,5,May,2,28,Friday,21
2021-05-29,2021,5,May,2,29,Saturday,21
2021-05-30,2021,5,May,2,30,Sunday,21
2021-05-31,2021,5,May,2,31,Monday,22
2021-06-01,2021,6,June,2,1,Tuesday,22
2021-06-02,2021,6,June,2,2,Wednesday,22
2021-06-03,2021,6,June,2,3,Thursday,22
2021-06-04,2021,6,June,2,4,Friday,22
2021-06-05,2021,6,June,2,5,Saturday,22
2021-06-06,2021,6,June,2,6,Sunday,22
2021-06-07,2021,6,June,2,7,Monday,23
2021-06-08,2021,6,June,2,8,Tuesday,23
2021-06-09,2021,6,June,2,9,Wednesday,23
2021-06-10,2021,6,June,2,10,Thursday,23
2021-06-11,2021,6,June,2,11,Friday,23
2021-06-12,2021,6,June,2,12,Saturday,23
2021-06-13,2021,6,June,2,13,Sunday,23
2021-06-14,2021,6,June,2,14,Monday,24
2021-06-15,2021,6,June,2,15,Tuesday,24
2021-06-16,2021,6,June,2,16,Wednesday,24
2021-06-17,2021,6,June,2,17,Thursday,24
2021-06-18,2021,6,June,2,18,Friday,24
2021-06-19,2021,6,June,2,19,Saturday,24
2021-06-20,2021,6,June,2,20,Sunday,24
2021-06-21,2021,6,June,2,21,Monday,25
2021-06-22,2021,6,June,2,22,Tuesday,25
2021-06-23,2021,6,June,2,23,Wednesday,25
2021-06-24,2021,6,June,2,24,Thursday,25
2021-06-25,2021,6,June,2,25,Friday,25
2021-06-26,2021,6,June,2,26,Saturday,25
2021-06-27,2021,6,June,2,27,Sunday,25
2021-06-28,2021,6,June,2,28,Monday,26
2021-06-29,2021,6,June,2,29,Tuesday,26
2021-06-30,2021,6,June,2,30,Wednesday,26
2021-07-01,2021,7,July,3,1,Thursday,26
2021-07-02,2021,7,July,3,2,Friday,26
2021-07-03,2021,7,July,3,3,Saturday,26
2021-07-04,2021,7,July,3,4,Sunday,26
2021-07-05,2021,7,July,3,5,Monday,27
2021-07-06,2021,7,July,3,6,Tuesday,27
2021-07-07,2021,7,July,3,7,Wednesday,27
2021-07-08,2021,7,July,3,8,Thursday,27
2021-07-09,2021,7,July,3,9,Friday,27
2021-07-10,2021,7,July,3,10,Saturday,27
2021-07-11,2021,7,July,3,11,Sunday,27
2021-07-12,2021,7,July,3,12,Monday,28
2021-07-13,2021,7,July,3,13,Tuesday,28
2021-07-14,2021,7,July,3,14,Wednesday,28
2021-07-15,2021,7,July,3,15,Thursday,28
2021-07-16,2021,7,July,3,16,Friday,28
2021-07-17,2021,7,July,3,17,Saturday,28
2021-07-18,2021,7,July,3,18,Sunday,28
2021-07-19,2021,7,July,3,19,Monday,29
2021-07-20,2021,7,July,3,20,Tuesday,29
2021-07-21,2021,7,July,3,21,Wednesday,29
2021-07-22,2021,7,July,3,22,Thursday,29
2021-07-23,2021,7,July,3,23,Friday,29
2021-07-24,2021,7,July,3,24,Saturday,29
2021-07-25,2021,7,July,3,25,Sunday,29
2021-07-26,2021,7,July,3,26,Monday,30
2021-07-27,2021,7,July,3,27,Tuesday,30
2021-07-28,2021,7,July,3,28,Wednesday,30
2021-07-29,2021,7,July,3,29,Thursday,30
2021-07-30,2021,7,July,3,30,Friday,30
2021-07-31,2021,7,July,3,31,Saturday,30
2021-08-01,2021,8,August,3,1,Sunday,30
2021-08-02,2021,8,August,3,2,Monday,31
2021-08-03,2021,8,August,3,3,Tuesday,31
2021-08-04,2021,8,August,3,4,Wednesday,31
2021-08-05,2021,8,August,3,5,Thursday,31
2021-08-06,2021,8,August,3,6,Friday,31
2021-08-07,2021,8,August,3,7,Saturday,31
2021-08-08,2021,8,August,3,8,Sunday,31
2021-08-09,2021,8,August,3,9,Monday,32
2021-08-10,2021,8,August,3,10,Tuesday,32
2021-08-11,2021,8,August,3,11,Wednesday,32
2021-08-12,2021,8,August,3,12,Thursday,32
2021-08-13,2021,8,August,3,13,Friday,32
2021-08-14,2021,8,August,3,14,Saturday,32
2021-08-15,2021,8,August,3,15,Sunday,32
2021-08-16,2021,8,August,3,16,Monday,33
2021-08-17,2021,8,August,3,17,Tuesday,33
2021-08-18,2021,8,August,3,18,Wednesday,33
2021-08-19,2021,8,August,3,19,Thursday,33
2021-08-20,2021,8,August,3,20,Friday,33
2021-08-21,2021,8,August,3,21,Saturday,33
2021-08-22,2021,8,August,3,22,Sunday,33
2021-08-23,2021,8,August,3,23,Monday,34
2021-08-24,2021,8,August,3,24,Tuesday,34
2021-08-25,2021,8,August,3,25,Wednesday,34
2021-08-26,2021,8,August,3,26,Thursday,34
2021-08-27,2021,8,August,3,27,Friday,34
2021-08-28,2021,8,August,3,28,Saturday,34
2021-08-29,2021,8,August,3,29,Sunday,34
2021-08-30,2021,8,August,3,30,Monday,35
2021-08-31,2021,8,August,3,31,Tuesday,35
2021-09-01,2021,9,September,3,1,Wednesday,35
2021-09-02,2021,9,September,3,2,Thursday,35
2021-09-03,2021,9,September,3,3,Friday,35
2021-09-04,2021,9,September,3,4,Saturday,35
2021-09-05,2021,9,September,3,5,Sunday,35
2021-09-06,2021,9,September,3,6,Monday,36
2021-09-07,2021,9,September,3,7,Tuesday,36
2021-09-08,2021,9,September,3,8,Wednesday,36
2021-09-09,2021,9,September,3,9,Thursday,36
2021-09-10,2021,9,September,3,10,Friday,36
2021-09-11,2021,9,September,3,11,Saturday,36
2021-09-12,2021,9,September,3,12,Sunday,36
2021-09-13,2021,9,September,3,13,Monday,37
2021-09-14,2021,9,September,3,14,Tuesday,37
2021-09-15,2021,9,September,3,15,Wednesday,37
2021-09-16,2021,9,September,3,16,Thursday,37
2021-09-17,2021,9,September,3,17,Friday,37
2021-09-18,2021,9,September,3,18,Saturday,37
2021-09-19,2021,9,September,3,19,Sunday,37
2021-09-20,2021,9,September,3,20,Monday,38
2021-09-21,2021,9,September,3,21,Tuesday,38
2021-09-22,2021,9,September,3,22,Wednesday,38
2021-09-23,2021,9,September,3,23,Thursday,38
2021-09-24,2021,9,September,3,24,Friday,38
2021-09-25,2021,9,September,3,25,Saturday,38
2021-09-26,2021,9,September,3,26,Sunday,38
2021-09-27,2021,9,September,3,27,Monday,39
2021-09-28,2021,9,September,3,28,Tuesday,39
2021-09-29,2021,9,September,3,29,Wednesday,39
2021-09-30,2021,9,September,3,30,Thursday,39
2021-10-01,2021,10,October,4,1,Friday,39
2021-10-02,2021,10,October,4,2,Saturday,39
2021-10-03,2021,10,October,4,3,Sunday,39
2021-10-04,2021,10,October,4,4,Monday,40
2021-10-05,2021,10,October,4,5,Tuesday,40
2021-10-06,2021,10,October,4,6,Wednesday,40
2021-10-07,2021,10,October,4,7,Thursday,40
2021-10-08,2021,10,October,4,8,Friday,40
2021-10-09,2021,10,October,4,9,Saturday,40
2021-10-10,2021,10,October,4,10,Sunday,40
2021-10-11,2021,10,October,4,11,Monday,41
2021-10-12,2021,10,October,4,12,Tuesday,41
2021-10-13,2021,10,October,4,13,Wednesday,41
2021-10-14,2021,10,October,4,14,Thursday,41
2021-10-15,2021,10,October,4,15,Friday,41
2021-10-16,2021,10,October,4,16,Saturday,41
2021-10-17,2021,10,October,4,17,Sunday,41
2021-10-18,2021,10,October,4,18,Monday,42
2021-10-19,2021,10,October,4,19,Tuesday,42
2021-10-20,2021,10,October,4,20,Wednesday,42
2021-10-21,2021,10,October,4,21,Thursday,42
2021-10-22,2021,10,October,4,22,Friday,42
2021-10-23,2021,10,October,4,23,Saturday,42
2021-10-24,2021,10,October,4,24,Sunday,42
2021-10-25,2021,10,October,4,25,Monday,43
2021-10-26,2021,10,October,4,26,Tuesday,43
2021-10-27,2021,10,October,4,27,Wednesday,43
2021-10-28,2021,10,October,4,28,Thursday,43
2021-10-29,2021,10,October,4,29,Friday,43
2021-10-30,2021,10,October,4,30,Saturday,43
2021-10-31,2021,10,October,4,31,Sunday,43
2021-11-01,2021,11,November,4,1,Monday,44
2021-11-02,2021,11,November,4,2,Tuesday,44
2021-11-03,2021,11,November,4,3,Wednesday,44
2021-11-04,2021,11,November,4,4,Thursday,44
2021-11-05,2021,11,November,4,5,Friday,44
2021-11-06,2021,11,November,4,6,Saturday,44
2021-11-07,2021,11,November,4,7,Sunday,44
2021-11-08,2021,11,November,4,8,Monday,45
2021-11-09,2021,11,November,4,9,Tuesday,45
2021-11-10,2021,11,November,4,10,Wednesday,45
2021-11-11,2021,11,November,4,11,Thursday,45
2021-11-12,2021,11,November,4,12,Friday,45
2021-11-13,2021,11,November,4,13,Saturday,45
2021-11-14,2021,11,November,4,14,Sunday,45
2021-11-15,2021,11,November,4,15,Monday,46
2021-11-16,2021,11,November,4,16,Tuesday,46
2021-11-17,2021,11,November,4,17,Wednesday,46
2021-11-18,2021,11,November,4,18,Thursday,46
2021-11-19,2021,11,November,4,19,Friday,46
2021-11-20,2021,11,November,4,20,Saturday,46
2021-11-21,2021,11,November,4,21,Sunday,46
2021-11-22,2021,11,November,4,22,Monday,47
2021-11-23,2021,11,November,4,23,Tuesday,47
2021-11-24,2021,11,November,4,24,Wednesday,47
2021-11-25,2021,11,November,4,25,Thursday,47
2021-11-26,2021,11,November,4,26,Friday,47
2021-11-27,2021,11,November,4,27,Saturday,47
2021-11-28,2021,11,November,4,28,Sunday,47
2021-11-29,2021,11,November,4,29,Monday,48
2021-11-30,2021,11,November,4,30,Tuesday,48
2021-12-01,2021,12,December,4,1,Wednesday,48
2021-12-02,2021,12,December,4,2,Thursday,48
2021-12-03,2021,12,December,4,3,Friday,48
2021-12-04,2021,12,December,4,4,Saturday,48
2021-12-05,2021,12,December,4,5,Sunday,48
2021-12-06,2021,12,December,4,6,Monday,49
2021-12-07,2021,12,December,4,7,Tuesday,49
2021-12-08,2021,12,December,4,8,Wednesday,49
2021-12-09,2021,12,December,4,9,Thursday,49
2021-12-10,2021,12,December,4,10,Friday,49
2021-12-11,2021,12,December,4,11,Saturday,49
2021-12-12,2021,12,December,4,12,Sunday,49
2021-12-13,2021,12,December,4,13,Monday,50
2021-12-14,2021,12,December,4,14,Tuesday,50
2021-12-15,2021,12,December,4,15,Wednesday,50
2021-12-16,2021,12,December,4,16,Thursday,50
2021-12-17,2021,12,December,4,17,Friday,50
2021-12-18,2021,12,December,4,18,Saturday,50
2021-12-19,2021,12,December,4,19,Sunday,50
2021-12-20,2021,12,December,4,20,Monday,51
2021-12-21,2021,12,December,4,21,Tuesday,51
2021-12-22,2021,12,December,4,22,Wednesday,51
2021-12-23,2021,12,December,4,23,Thursday,51
2021-12-24,2021,12,December,4,24,Friday,51
2021-12-25,2021,12,December,4,25,Saturday,51
2021-12-26,2021,12,December,4,26,Sunday,51
2021-12-27,2021,12,December,4,27,Monday,52
2021-12-28,2021,12,December,4,28,Tuesday,52
2021-12-29,2021,12,December,4,29,Wednesday,52
2021-12-30,2021,12,December,4,30,Thursday,52
2021-12-31,2021,12,December,4,31,Friday,52
2022-01-01,2022,1,January,1,1,Saturday,52
2022-01-02,2022,1,January,1,2,Sunday,52
2022-01-03,2022,1,January,1,3,Monday,1
2022-01-04,2022,1,January,1,4,Tuesday,1
2022-01-05,2022,1,January,1,5,Wednesday,1
2022-01-06,2022,1,January,1,6,Thursday,1
2022-01-07,2022,1,January,1,7,Friday,1
2022-01-08,2022,1,January,1,8,Saturday,1
2022-01-09,2022,1,January,1,9,Sunday,1
2022-01-10,2022,1,January,1,10,Monday,2
2022-01-11,2022,1,January,1,11,Tuesday,2
2022-01-12,2022,1,January,1,12,Wednesday,2
2022-01-13,2022,1,January,1,13,Thursday,2
2022-01-14,2022,1,January,1,14,Friday,2
2022-01-15,2022,1,January,1,15,Saturday,2
2022-01-16,2022,1,January,1,16,Sunday,2
2022-01-17,2022,1,January,1,17,Monday,3
2022-01-18,2022,1,January,1,18,Tuesday,3
2022-01-19,2022,1,January,1,19,Wednesday,3
2022-01-20,2022,1,January,1,20,Thursday,3
2022-01-21,2022,1,January,1,21,Friday,3
2022-01-22,2022,1,January,1,22,Saturday,3
2022-01-23,2022,1,January,1,23,Sunday,3
2022-01-24,2022,1,January,1,24,Monday,4
2022-01-25,2022,1,January,1,25,Tuesday,4
2022-01-26,2022,1,January,1,26,Wednesday,4
2022-01-27,2022,1,January,1,27,Thursday,4
2022-01-28,2022,1,January,1,28,Friday,4
2022-01-29,2022,1,January,1,29,Saturday,4
2022-01-30,2022,1,January,1,30,Sunday,4
2022-01-31,2022,1,January,1,31,Monday,5
2022-02-01,2022,2,February,1,1,Tuesday,5
2022-02-02,2022,2,February,1,2,Wednesday,5
2022-02-03,2022,2,February,1,3,Thursday,5
2022-02-04,2022,2,February,1,4,Friday,5
2022-02-05,2022,2,February,1,5,Saturday,5
2022-02-06,2022,2,February,1,6,Sunday,5
2022-02-07,2022,2,February,1,7,Monday,6
2022-02-08,2022,2,February,1,8,Tuesday,6
2022-02-09,2022,2,February,1,9,Wednesday,6
2022-02-10,2022,2,February,1,10,Thursday,6
2022-02-11,2022,2,February,1,11,Friday,6
2022-02-12,2022,2,February,1,12,Saturday,6
2022-02-13,2022,2,February,1,13,Sunday,6
2022-02-14,2022,2,February,1,14,Monday,7
2022-02-15,2022,2,February,1,15,Tuesday,7
2022-02-16,2022,2,February,1,16,Wednesday,7
2022-02-17,2022,2,February,1,17,Thursday,7
2022-02-18,2022,2,February,1,18,Friday,7
2022-02-19,2022,2,February,1,19,Saturday,7
2022-02-20,2022,2,February,1,20,Sunday,7
2022-02-21,2022,2,February,1,21,Monday,8
2022-02-22,2022,2,February,1,22,Tuesday,8
2022-02-23,2022,2,February,1,23,Wednesday,8
2022-02-24,2022,2,February,1,24,Thursday,8
2022-02-25,2022,2,February,1,25,Friday,8
2022-02-26,2022,2,February,1,26,Saturday,8
2022-02-27,2022,2,February,1,27,Sunday,8
2022-02-28,2022,2,February,1,28,Monday,9
2022-03-01,2022,3,March,1,1,Tuesday,9
2022-03-02,2022,3,March,1,2,Wednesday,9
2022-03-03,2022,3,March,1,3,Thursday,9
2022-03-04,2022,3,March,1,4,Friday,9
2022-03-05,2022,3,March,1,5,Saturday,9
2022-03-06,2022,3,March,1,6,Sunday,9
2022-03-07,2022,3,March,1,7,Monday,10
2022-03-08,2022,3,March,1,8,Tuesday,10
2022-03-09,2022,3,March,1,9,Wednesday,10
2022-03-10,2022,3,March,1,10,Thursday,10
2022-03-11,2022,3,March,1,11,Friday,10
2022-03-12,2022,3,March,1,12,Saturday,10
2022-03-13,2022,3,March,1,13,Sunday,10
2022-03-14,2022,3,March,1,14,Monday,11
2022-03-15,2022,3,March,1,15,Tuesday,11
2022-03-16,2022,3,March,1,16,Wednesday,11
2022-03-17,2022,3,March,1,17,Thursday,11
2022-03-18,2022,3,March,1,18,Friday,11
2022-03-19,2022,3,March,1,19,Saturday,11
2022-03-20,2022,3,March,1,20,Sunday,11
2022-03-21,2022,3,March,1,21,Monday,12
2022-03-22,2022,3,March,1,22,Tuesday,12
2022-03-23,2022,3,March,1,23,Wednesday,12
2022-03-24,2022,3,March,1,24,Thursday,12
2022-03-25,2022,3,March,1,25,Friday,12
2022-03-26,2022,3,March,1,26,Saturday,12
2022-03-27,2022,3,March,1,27,Sunday,12
2022-03-28,2022,3,March,1,28,Monday,13
2022-03-29,2022,3,March,1,29,Tuesday,13
2022-03-30,2022,3,March,1,30,Wednesday,13
2022-03-31,2022,3,March,1,31,Thursday,13
2022-04-01,2022,4,April,2,1,Friday,13
2022-04-02,2022,4,April,2,2,Saturday,13
2022-04-03,2022,4,April,2,3,Sunday,13
2022-04-04,2022,4,April,2,4,Monday,14
2022-04-05,2022,4,April,2,5,Tuesday,14
2022-04-06,2022,4,April,2,6,Wednesday,14
2022-04-07,2022,4,April,2,7,Thursday,14
2022-04-08,2022,4,April,2,8,Friday,14
2022-04-09,2022,4,April,2,9,Saturday,14
2022-04-10,2022,4,April,2,10,Sunday,14
2022-04-11,2022,4,April,2,11,Monday,15
2022-04-12,2022,4,April,2,12,Tuesday,15
2022-04-13,2022,4,April,2,13,Wednesday,15
2022-04-14,2022,4,April,2,14,Thursday,15
2022-04-15,2022,4,April,2,15,Friday,15
2022-04-16,2022,4,April,2,16,Saturday,15
2022-04-17,2022,4,April,2,17,Sunday,15
2022-04-18,2022,4,April,2,18,Monday,16
2022-04-19,2022,4,April,2,19,Tuesday,16
2022-04-20,2022,4,April,2,20,Wednesday,16
2022-04-21,2022,4,April,2,21,Thursday,16
2022-04-22,2022,4,April,2,22,Friday,16
2022-04-23,2022,4,April,2,23,Saturday,16
2022-04-24,2022,4,April,2,24,Sunday,16
2022-04-25,2022,4,April,2,25,Monday,17
2022-04-26,2022,4,April,2,26,Tuesday,17
2022-04-27,2022,4,April,2,27,Wednesday,17
2022-04-28,2022,4,April,2,28,Thursday,17
2022-04-29,2022,4,April,2,29,Friday,17
2022-04-30,2022,4,April,2,30,Saturday,17
2022-05-01,2022,5,May,2,1,Sunday,17
2022-05-02,2022,5,May,2,2,Monday,18
2022-05-03,2022,5,May,2,3,Tuesday,18
2022-05-04,2022,5,May,2,4,Wednesday,18
2022-05-05,2022,5,May,2,5,Thursday,18
2022-05-06,2022,5,May,2,6,Friday,18
2022-05-07,2022,5,May,2,7,Saturday,18
2022-05-08,2022,5,May,2,8,Sunday,18
2022-05-09,2022,5,May,2,9,Monday,19
2022-05-10,2022,5,May,2,10,Tuesday,19
2022-05-11,2022,5,May,2,11,Wednesday,19
2022-05-12,2022,5,May,2,12,Thursday,19
2022-05-13,2022,5,May,2,13,Friday,19
2022-05-14,2022,5,May,2,14,Saturday,19
2022-05-15,2022,5,May,2,15,Sunday,19
2022-05-16,2022,5,May,2,16,Monday,20
2022-05-17,2022,5,May,2,17,Tuesday,20
2022-05-18,2022,5,May,2,18,Wednesday,20
2022-05-19,2022,5,May,2,19,Thursday,20
2022-05-20,2022,5,May,2,20,Friday,20
2022-05-21,2022,5,May,2,21,Saturday,20
2022-05-22,2022,5,May,2,22,Sunday,20
2022-05-23,2022,5,May,2,23,Monday,21
2022-05-24,2022,5,May,2,24,Tuesday,21
2022-05-25,2022,5,May,2,25,Wednesday,21
2022-05-26,2022,5,May,2,26,Thursday,21
2022-05-27,2022,5,May,2,27,Friday,21
2022-05-28,2022,5,May,2,28,Saturday,21
2022-05-29,2022,5,May,2,29,Sunday,21
2022-05-30,2022,5,May,2,30,Monday,22
2022-05-31,2022,5,May,2,31,Tuesday,22
2022-06-01,2022,6,June,2,1,Wednesday,22
2022-06-02,2022,6,June,2,2,Thursday,22
2022-06-03,2022,6,June,2,3,Friday,22
2022-06-04,2022,6,June,2,4,Saturday,22
2022-06-05,2022,6,June,2,5,Sunday,22
2022-06-06,2022,6,June,2,6,Monday,23
2022-06-07,2022,6,June,2,7,Tuesday,23
2022-06-08,2022,6,June,2,8,Wednesday,23
2022-06-09,2022,6,June,2,9,Thursday,23
2022-06-10,2022,6,June,2,10,Friday,23
2022-06-11,2022,6,June,2,11,Saturday,23
2022-06-12,2022,6,June,2,12,Sunday,23
2022-06-13,2022,6,June,2,13,Monday,24
2022-06-14,2022,6,June,2,14,Tuesday,24
2022-06-15,2022,6,June,2,15,Wednesday,24
2022-06-16,2022,6,June,2,16,Thursday,24
2022-06-17,2022,6,June,2,17,Friday,24
2022-06-18,2022,6,June,2,18,Saturday,24
2022-06-19,2022,6,June,2,19,Sunday,24
2022-06-20,2022,6,June,2,20,Monday,25
2022-06-21,2022,6,June,2,21,Tuesday,25
2022-06-22,2022,6,June,2,22,Wednesday,25
2022-06-23,2022,6,June,2,23,Thursday,25
2022-06-24,2022,6,June,2,24,Friday,25
2022-06-25,2022,6,June,2,25,Saturday,25
2022-06-26,2022,6,June,2,26,Sunday,25
2022-06-27,2022,6,June,2,27,Monday,26
2022-06-28,2022,6,June,2,28,Tuesday,26
2022-06-29,2022,6,June,2,29,Wednesday,26
2022-06-30,2022,6,June,2,30,Thursday,26
2022-07-01,2022,7,July,3,1,Friday,26
2022-07-02,2022,7,July,3,2,Saturday,26
2022-07-03,2022,7,July,3,3,Sunday,26
2022-07-04,2022,7,July,3,4,Monday,27
2022-07-05,2022,7,July,3,5,Tuesday,27
2022-07-06,2022,7,July,3,6,Wednesday,27
2022-07-07,2022,7,July,3,7,Thursday,27
2022-07-08,2022,7,July,3,8,Friday,27
2022-07-09,2022,7,July,3,9,Saturday,27
2022-07-10,2022,7,July,3,10,Sunday,27
2022-07-11,2022,7,July,3,11,Monday,28
